color_name
أبيض
أبيض لؤلؤي
أحمر
أحمر داكن
أحمر فيراري
أحمر فيراري ميتاليك
أخضر
أخضر زيتي
أخضر ميتاليك
أزرق
أزرق داكن
أزرق سماوي
أزرق فاتح
أزرق ميتاليك
أسود
أصفر
برتقالي
برتقالي ميتاليك
برونزي
بنفسجي
بني
بني ميتاليك
بيج
ذهبي
ذهبي ميتاليك
رمادي
رمادي ميتاليك
شمباني
فضي (سلفر)
فضي ميتاليك
كريمي
وردي
