id,part_name,default_price
1358,كوشوكة عجل,0
1359,قشرة طمبون خلفي + جسر + حمالات,0
1360,سبويلر طمبون خلفي وسط اسود,0
1361,غطاء صندوق خلفي + بطانه داخليه+ زرفيل,0
1362,كوشوكة عجل 50% عدد 2,0
1363,طمبون خلفي وسط,0
1364,حساس طمبون خلفي عدد 2,0
1365,باب امامي يمين كامل,0
1366,باب امامي يمين كامل ,0
1367,باب خلفي يمين فارغ,0
1368,باب خلفي يسار,0
1369,عاكسة غطاء خلفي يمين,0
1370,زرفيل غطاء خلفي,0
1371,حساسات طمبون خلفي ,0
1372,حساسات طمبون خلفي,0
1373,غطاء صندوق خلفي ,0
1374,شبك طمبون امامي وسط,0
1375,طبشة شاصي امامي يسار,0
1376,كت مراوح,0
1377,ضوء امامي يسار عادي,0
1378,ضوء امامي يسار عادي ,0
1379,طمبون خلفي,0
1380,طمبون خلفي ,0
1381,زاويه طمبون خلفي يسار,0
1382,ضوء امامي يمين زينون ليد,0
1383,كشاف امامي يمين ليد,0
1384,قشرة طمبون امامي يسار ليد,0
1385,كشاف طمبون امامي يسار ليد,0
1386,دعسة رجل يسار,0
1387,مرآه امامية يسار,0
1388,كاميرا خلفي,0
1389,غطاء خلفي + مسطرة,0
1390,غطاء محرك + فصالات,0
1391,قشرة طمبون امامي + جسر + فلينه + حمالات,0
1392,شل امامي + شبك طمبون امامي سفلي,0
1393,جناح امامي يسار + بطانة,0
1394,رديتر ماء + رديتر مكيف + مبرد زيت,0
1396,ثلاجة امامية,0
1397,طرمبة ماء,0
1398,ثرموستات,0
1399,فصالات,0
1400,فصالات ,0
1401,غطاء محرك ,0
1402,سبويلر طمبون امامي وسط,0
1403,ستكرز باب,0
1405,زرفيل غطاء صندوق خلفي ,0
1404,زرفيل غطاء صندوق خلفي,0
1406,قشرة تابلو امامي ,0
1407,قشرة تابلو امامي,0
1408,بطانة شمعه امامي داخليه,0
1409,نكلة اكزوزت عدد 2,0
1410,سبويلر  طمبون خلفي يسار داير العجل,0
1411,حساس نقطة عمياء يسار,0
1412,كوشوكة عجل خلفي ,0
1413,كوشوكة عجل خلفي,0
1414,دنجل خلفي ,0
1415,دنجل خلفي,0
1416,عاكسة طمبون خلفي يسار,0
1417,ضوء امامي يمين ليد,0
1418,ضوء امامي يمين ليد ,0
1419,ثلاجة هواء محرك,0
1420,واجهة امامية عظم,0
1421,عظمة واجهة داخلية ,0
1422,عظمة واجهة داخلية,0
1423,ضوء امامي يسار ليد,0
1425,كوشوكة عجل اماميه يسار ,0
1424,كوشوكة عجل اماميه يسار,0
1426,شل امامي مسطره,0
1427,غطاء قاعدة الشحن,0
1428,برواز ضوء امامي,0
1429,برواز ضوء امامي ,0
1430,جناح امامي ( دلاية عجل ),0
1431,صنوبرصات اماميه,0
1432,جنط امامي ,0
1433,جنط امامي,0
1434,كوشوكة عجل ,0
1435,سبويلر اماميه يمين على الخزان ,0
1436,سبويلر اماميه يمين على الخزان,0
1437,ركابه يمين,0
1438,غطاء كشاف يمين ,0
1439,غطاء كشاف يمين,0
1440,ايرباج تندة يسار ,0
1441,ايرباج تندة يسار,0
1442,ضوء خلفي يمين كرستال,0
1443,حساسات طمبون خلفي زينه,0
1444,حساسات طمبون خلفي زينه ,0
1445,سبويلر طمبون خلفي زينه,0
1446,حساس امامي يسار,0
1447,كشاف امامي يسار ليد,0
1448,قشرة طمبون خلفي علوي,0
1449,ضوء خلفي على الطمبون يسار,0
1450,رقبة بنزين,0
1452,غمازات اماميه يمين ,0
1451,غمازات اماميه يمين,0
1453,حساسات اماميه,0
1454,صنوبرص امامي يمين,0
1455,بطانة جناح امامي يسار,0
1456,يد باب خلفي يمين,0
1457,نكله جناح امامي يمين,0
1458,غطاء هوك امامي يسار,0
1459,حساسات اماميه عدد 2,0
1460,ارضية صندوق خلفي,0
1461,غطاء هوك يمين,0
1462,حساس امامي عدد 1,0
1463,دنجل امامي كامل,0
1464,عواكس طمبون خلفي يمين,0
1465,مراَة باب امامي يسار كامل,0
1466,مراَة باب امامي يسار كامل ,0
1467,دفيوزر طمبون امامي سفلي,0
1468,هوايه طمبون امامي,0
1469,سبويلر جناح امامي يمين داير العجل,0
1470,ضوء خلفي على السطحه يسار,0
1471,غطاء امامي,0
1472,هوايه طمبون امامي يمين,0
1473,قشرة طمب,0
1474,فتحة سقف كامله ,0
1475,فتحة سقف كامله,0
1476,كوشوكة عجل عدد 2,0
1477,طاسة عجل عدد 2,0
1478,فصالات باب امامي يمين,0
1479,نكله مرش يمين,0
1480,كشاف طمبون امامي يمين,0
1481,سبويلر باب  امامي يسار,0
1482,طمبون امامي كامل ,0
1483,طمبون امامي كامل,0
1484,حمالات طمبون امامي,0
1485,حمالة طمبون خلفي يمين,0
1486,هوايه جناح خلفي يسار,0
1487,جزمه طمبون خلفي يمين,0
1488,عاكسة غطاء صندوق خلفي ,0
1489,عاكسة غطاء صندوق خلفي,0
1490,حمالة طمبون امامي يمين,0
1491,سبويلر طمبون خلفي يسار,0
1492,باب خلفي يمين  فارغ,0
1494,سبويلر جناح خلفي داير العجل,0
1493,سبويلر جناح خلفي داير العجل ,0
1495,سبويلر باب خلفي يمين سفلي,0
1496,سبويلر باب خلفي يمين سفلي ,0
1497,حاضنه نمره,0
1498,مرش وسط يمين ,0
1499,مرش وسط يمين,0
1500,نكلة باب خلفي يمين,0
1501,سبويلر طمبون خلفي ,0
1502,سبويلر طمبون خلفي,0
1503,كوشوكة ,0
1504,كوشوكة,0
1505,قشرة طمبون امامي علوي,0
1506,سبويلر جناح خلفي يسار ,0
1507,سبويلر جناح خلفي يسار,0
1508,مراَة باب امامي يمين,0
1509,كوشوكة عجل امامبي يمين,0
1510,شبك طمبون امامي ,0
1511,شبك طمبون امامي,0
1512,مراَة جانبيه يسار,0
1513,ضوء امامي يسار زينون ليد,0
1514,هوايه طمبون امامي يسار,0
1515,قشرة طمبون خلفي سفلي,0
1516,طمبون خلفي سفلي,0
1517,عاكسة غطاء صندوق خلفي عريضه,0
1518,غطاء هوك خلفي ,0
1519,غطاء هوك خلفي,0
1520,كشافات طمبون امامي يمين,0
1521,حساسات طمبون خلفي تجاري عدد 4,0
1522,طاسة عجل خلفي يمين,0
1523,دعسة طمبون خلفي,0
1524,ماسورة اكزوزت,0
1525,كشافات اماميه يمين,0
1526,حساسات طمبون اماميه,0
1527,قصه جناح خلفيه يمين,0
1528,مثلث زجاج زاوية جناح خلفي يمين,0
1529,زجاج خلفي,0
1530,جنط خلفي يمين,0
1531,كوشوكة عجل خلفي يسار  ,0
1532,مرآة الوسط,0
1533,مطرة ماء مساحات مع الماتور,0
1534,انفيرتر,0
1535,بطانة جناح داخلية بلاستيك,0
1536,بطانة جناح خلفي خارجية,0
1537,رادار تصادم,0
1538,زاويه طمبون خلفي يمين,0
1539,ضوء خلفي يمين ليد ,0
1540,ضوء خلفي يمين ليد,0
1541,شبر غطاء صندوق خلفي,0
1542,شل امامي مضيئ,0
1543,سبويلر باب امامي يمين,0
1544,مرش يسار بلاستيك,0
1545,سبويلر جناح امامي يسار (داير العجل),0
1546,اشارة لوجو,0
1547,اشارة لوجو ,0
1548,عاكسة غطاء صندوق خلفي يسار,0
1549,غطاء جناح داخلي يمين,0
1550,انفيرتر داخل الصندوق,0
1551,مرش سفلي يمين بلاستيك,0
1552,زجاج باب امامي يمين,0
1553,عمدان توازن عجل امامي يسار,0
1554,اكس امامي يسار,0
1555,سكبة جير  خارجية,0
1556,سبويلرات امامية ,0
1557,سبويلرات امامية,0
1558,جناح امامي  ( واقية العجل الامامي),0
1559,رديتر انفيرتر,0
1560,كاميرا اماميه,0
1561,بلاستيكة مرش يسار,0
1562,اكس ,0
1563,اكس,0
1564,كفات اماميه يسار علويه,0
1565,بوق هواء يسار ,0
1566,بوق هواء يسار,0
1567,كوشوكة عجل يسار,0
